TransactionID,Timestamp,Amount,Currency,Channel,Location,CustomerID,AccountType,TxFrequency,FraudLabel
T000001,2025-03-13 13:46:39,149.84,INR,Online,IN,C1329,Savings,3,0
T000002,2025-08-21 23:17:52,245.35,INR,POS,IN,C6197,CreditCard,2,0
T000003,2025-08-09 11:35:45,85.66,INR,POS,AE,C1755,Savings,0,0
T000004,2025-03-18 4:45:22,42.78,INR,Online,IN,C5202,Business,2,0
T000005,2025-08-19 20:37:55,96,INR,ATM,US,C7140,Savings,2,0
T000006,2025-06-01 7:05:31,243.22,EUR,Online,IN,C6896,Savings,1,1
T000007,2025-07-21 17:49:16,36.3,USD,POS,US,C5480,CreditCard,2,0
T000008,2025-05-23 16:40:59,403.58,INR,ATM,UK,C5511,Business,0,0
T000009,2025-06-17 18:02:05,377.32,INR,POS,SG,C4263,CreditCard,2,0
T000010,2025-03-08 18:36:58,348.06,EUR,Online,UK,C1840,Savings,5,0
T000011,2025-05-11 20:20:33,136.39,EUR,Online,SG,C1602,CreditCard,0,0
T000012,2025-05-27 1:57:54,684.33,GBP,POS,IN,C4022,Savings,4,0
T000013,2025-05-12 19:58:45,280.73,INR,Online,IN,C1016,Business,3,0
T000014,2025-05-12 15:30:41,222.39,USD,Online,AE,C5974,Savings,2,0
T000015,2025-07-26 4:33:43,25.18,INR,Online,US,C2753,CreditCard,1,0
T000016,2025-06-04 12:19:57,57.59,INR,Online,SG,C1164,Business,2,0
T000017,2025-05-10 2:46:21,114.88,INR,POS,IN,C6929,Savings,5,0
T000018,2025-03-18 19:25:07,119.31,INR,POS,US,C2648,Savings,3,0
T000019,2025-05-31 23:25:41,171.48,GBP,Mobile,IN,C5954,Savings,2,0
T000020,2025-07-22 7:55:26,68.17,INR,Online,UK,C4128,Business,2,0
T000021,2025-08-14 1:49:09,63.58,INR,Mobile,AE,C6286,CreditCard,1,0
T000022,2025-04-01 23:11:25,54.69,EUR,POS,IN,C8720,Savings,1,0
T000023,2025-05-28 8:16:25,217.18,INR,Wire,US,C4564,Savings,2,0
T000024,2025-06-27 11:19:04,48.03,INR,Wire,SG,C9668,Savings,1,0
T000025,2025-06-27 7:17:20,652.93,INR,Mobile,IN,C7919,Business,1,0
T000026,2025-07-29 6:37:30,8.44,EUR,ATM,IN,C2559,Business,4,0
T000027,2025-09-03 0:40:12,140.83,USD,Online,IN,C5252,Business,1,0
T000028,2025-08-31 1:29:30,492.25,INR,POS,US,C2871,Business,2,0
T000029,2025-06-04 4:39:33,360.37,INR,POS,IN,C2641,Savings,7,0
T000030,2025-06-27 21:25:15,457.89,INR,Online,US,C3994,Savings,3,0
T000031,2025-04-08 17:05:37,442.17,USD,Online,UK,C5806,CreditCard,5,0
T000032,2025-05-24 2:59:54,867.09,USD,POS,IN,C4453,Savings,1,0
T000033,2025-06-29 15:47:51,76.73,USD,POS,IN,C3777,Savings,0,0
T000034,2025-04-21 1:55:56,112.92,USD,POS,US,C7958,Business,2,0
T000035,2025-05-06 6:20:33,133.92,INR,ATM,IN,C2014,CreditCard,4,0
T000036,2025-05-24 5:08:46,196,EUR,ATM,US,C8689,CreditCard,3,0
T000037,2025-05-13 23:31:04,360.16,INR,Mobile,IN,C8687,Savings,3,0
T000038,2025-08-26 21:04:53,546.83,USD,Online,IN,C4327,Savings,0,0
T000039,2025-06-06 6:18:58,131.7,INR,Online,US,C5443,Savings,1,0
T000040,2025-06-01 17:08:31,124.83,EUR,POS,US,C2358,CreditCard,3,0
T000041,2025-08-15 14:33:56,263.66,USD,Online,SG,C8013,Savings,3,0
T000042,2025-03-15 2:45:22,114.38,GBP,Mobile,IN,C9037,Savings,0,0
T000043,2025-06-09 20:36:36,57.59,INR,Mobile,IN,C8594,Savings,0,0
T000044,2025-07-24 1:24:17,25.93,INR,Wire,IN,C3277,Business,2,0
T000045,2025-07-14 0:31:48,51.74,INR,POS,IN,C7256,Savings,3,0
T000046,2025-07-02 3:55:44,61.68,INR,Wire,US,C6809,CreditCard,4,0
T000047,2025-04-16 14:12:10,134.04,INR,POS,IN,C3124,Savings,1,0
T000048,2025-07-17 4:32:26,189.64,USD,ATM,SG,C6810,Business,1,0
T000049,2025-07-28 14:34:18,6.36,INR,Mobile,IN,C9739,Savings,1,0
T000050,2025-04-16 20:58:59,92.1,INR,POS,UK,C8105,Savings,2,0
T000051,2025-06-12 10:51:15,695.36,INR,Online,US,C6075,Savings,4,0
T000052,2025-06-21 18:00:27,2.08,INR,Online,IN,C7985,CreditCard,2,0
T000053,2025-05-04 9:49:55,8.9,USD,ATM,IN,C2859,CreditCard,0,0
T000054,2025-06-07 14:07:24,20.55,INR,Online,IN,C8445,Savings,1,0
T000055,2025-08-25 21:44:39,15.77,USD,Wire,IN,C9509,Business,2,0
T000056,2025-04-03 23:23:16,476.71,USD,ATM,US,C1986,Business,2,0
T000057,2025-07-13 20:20:42,145.2,INR,POS,US,C8200,CreditCard,2,0
T000058,2025-05-23 4:33:42,0.13,INR,Mobile,IN,C1527,CreditCard,1,0
T000059,2025-07-06 4:39:58,282.47,USD,POS,IN,C1104,CreditCard,1,0
T000060,2025-06-04 10:28:20,239.38,INR,ATM,SG,C8884,Business,3,0
T000061,2025-04-16 3:05:41,321.35,GBP,ATM,US,C8604,Savings,2,0
T000062,2025-06-17 18:06:45,317.26,EUR,POS,IN,C2064,Savings,3,0
T000063,2025-04-14 16:38:37,287.28,INR,Mobile,UK,C5245,Business,4,0
T000064,2025-08-31 2:57:35,181.79,USD,Online,IN,C1884,Business,2,0
T000065,2025-04-04 16:20:26,115.63,INR,POS,SG,C6705,CreditCard,0,0
T000066,2025-08-18 10:15:03,148.15,EUR,Mobile,US,C3344,CreditCard,1,0
